,07-Sep-2018
The Nifty witnessed an intraday movement of about 118.6 points.The closing index was 0.45 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 36966.93
, Traded Quantity (in Lakhs), 14044.67
, Number of Trades, 12659002
, Total Market Capitalisation (Rs. Crores), 15511978.16

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BLUEDART,EQ,      3317.45,                 10904489.65,3273
,BLUESTARCO,EQ,       683.30,                104129057.45,151834
,BODALCHEM,EQ,       116.85,                 19923174.95,170640
,BOHRA,SM,        17.40,                   140700.00,8000
,BOMDYEING,BE,       261.50,                 78553582.40,298122
,BOROSIL,EQ,       321.80,                147576397.50,448545
,BPL,EQ,        51.70,                 13138126.75,252640
,BRFL,BE,        17.85,                   474274.50,26570
,BRIGADE,EQ,       217.70,                  4706136.90,21663
,BRNL,EQ,       158.20,                  1399065.65,8672
,BROOKS,EQ,        80.55,                 12024133.60,149507
,BSE,EQ,       735.80,                 46070808.10,62646
,BSELINFRA,EQ,         3.35,                   149210.90,44868
,BSHSL,SM,       142.00,                   142000.00,1000
,BSL,EQ,        55.35,                   238512.75,4372
,BSLGOLDETF,EQ,      2830.00,                   115670.95,41
,BSLNIFTY,EQ,       114.90,                    43605.41,388
,BURNPUR,BE,         5.05,                   148375.15,29957
,BUTTERFLY,EQ,       296.70,                  1631105.95,5514
,BVCL,BE,        20.00,                    27926.15,1446
,BYKE,EQ,        99.95,                  3789148.95,38146
,CALSOFT,BE,        51.85,                  2808507.10,54166
,CAMLINFINE,EQ,        66.65,                 24577306.60,366738
,CANBK,EQ,       270.45,               1642305897.05,6131041
,CANDC,EQ,        29.80,                  1474682.80,49486
,CANFINHOME,EQ,       310.80,                163118442.15,525441
,CANTABIL,EQ,       155.60,                 10204933.65,65502
,CAPACITE,EQ,       254.95,                 24683074.40,96508
,CAPF,EQ,       615.80,                218492739.10,356793
,CAPLIPOINT,EQ,       515.85,                180630096.25,349773
,CAPTRUST,EQ,       371.50,                  2043310.95,5618
,CARBORUNIV,EQ,       371.15,                 11633231.95,31325
,CAREERP,EQ,        85.35,                  1291593.15,15300
,CARERATING,EQ,      1323.45,                 20088633.45,15198
,CASTEXTECH,EQ,         1.55,                   113049.25,72935
,CASTROLIND,EQ,       155.25,                134659797.35,869135
,CCCL,EQ,         2.40,                   681777.90,285593
,CCHHL,EQ,         9.20,                  1091653.15,119420
,CCL,EQ,       267.70,                 10178743.80,37952
,CDSL,EQ,       259.00,                 37579434.20,144748
,CEATLTD,EQ,      1400.40,                886340335.05,637941
,CEBBCO,EQ,        12.50,                   129806.40,10358
,CELEBRITY,EQ,        11.70,                   184819.00,15844
,CELESTIAL,EQ,        19.70,                 16440803.45,859176
,CENTENKA,EQ,       287.90,                  7377170.05,25466
,CENTEXT,EQ,         8.35,                  5892288.95,688844
,CENTRALBK,EQ,        67.55,                  3823574.35,56491
,CENTRUM,EQ,        50.05,                  6483960.95,129603
,CENTUM,EQ,       379.55,                 10943169.55,28793
,CENTURYPLY,EQ,       207.00,                 73751107.05,355133
,CENTURYTEX,EQ,       938.25,                381864826.50,407580
,CERA,EQ,      2671.80,                 38858893.25,14596
,CEREBRAINT,EQ,        41.30,                 25115505.45,610438
,CES1RPG,MF,         9.11,                    73438.50,8050
,CESC,EQ,      1012.15,                519804195.45,512582
,CGCL,EQ,       122.50,                 32255680.10,269028
,CGPOWER,EQ,        56.30,                 91192780.40,1622290
,CHAMBLFERT,EQ,       164.40,                141500915.45,860607
,CHEMFAB,EQ,       165.75,                  1373450.75,8431
,CHENNPETRO,EQ,       295.25,                 64924261.95,220497
,CHOLAFIN,EQ,      1439.90,                713965757.25,498942
,CHROMATIC,BE,         1.30,                   152650.10,114789
,CIGNITITEC,EQ,       399.55,                  4968574.45,12508
,CIMMCO,EQ,        63.50,                   372457.55,5812
,CINELINE,EQ,        51.05,                   842537.70,16593
,CINEVISTA,BE,         6.85,                    91547.55,13224
,CLEDUCATE,EQ,       139.05,                   101058.60,726
,CLNINDIA,EQ,       526.75,                 15610385.15,30240
,CMICABLES,EQ,       181.10,                 19248526.80,107268
,CMMIPL,SM,        24.25,                    72750.00,3000
,CNOVAPETRO,BE,        26.00,                    11126.20,415
,COCHINSHIP,EQ,       423.85,                 57582541.50,136262
,COFFEEDAY,EQ,       298.00,                118819751.90,404694
,COMPINFO,EQ,        31.45,                   375067.20,11892
,COMPUSOFT,EQ,        12.00,                   367989.75,30731
,CONSOFINVT,EQ,        58.40,                    57057.70,971
,CONTROLPR,EQ,       384.90,                   882987.60,2270
,CORALFINAC,EQ,        21.45,                   330419.50,15378
,CORDSCABLE,EQ,        71.50,                   659893.80,9370
,COROMANDEL,EQ,       406.55,                 30340249.75,74369
,CORPBANK,EQ,        27.15,                  3856128.30,143275
,COSMOFILMS,EQ,       272.60,                 25712122.15,93972
,COUNCODOS,EQ,         2.60,                    47578.35,18656
,COX&KINGS,EQ,       220.75,                 18095062.90,83425
,CPSEETF,EQ,        27.14,                 39919860.44,1475586
,CREATIVE,SM,       107.15,                  3254880.00,30400
,CREDITACC,EQ,       385.25,                 55708163.20,144584
,CREST,EQ,       205.05,                 28578108.05,140324
,CRISIL,EQ,      1762.60,                 11617881.80,6597
,CROMPTON,EQ,       220.20,                175569444.10,792951
,CTE,EQ,        56.80,                   129016.85,2265
,CUB,EQ,       186.20,                129720135.05,704259
,CUBEXTUB,EQ,        13.40,                    20464.25,1525
,CUPID,EQ,       218.25,                  2512075.70,11539
,CURATECH,BE,         3.65,                      386.90,106
,CYBERMEDIA,EQ,         9.30,                     1587.00,170
,CYBERTECH,EQ,        44.50,                   346951.35,7636
,CYIENT,EQ,       793.70,               1075509906.10,1341309
,DAAWAT,EQ,        53.55,                 34158586.80,635849
,DALMIABHA,EQ,      2563.35,                154226343.00,60695
,DALMIASUG,EQ,        60.85,                  1625051.80,26549
